//No.	Name	Trigger interval	Transfer duration	Use effect script	Remove the effect of the script	Substitution principle	Manually Cancel	Can Move	Can use Skills	Can attack	Can trade	Can use items	It can be attacked	Can someone else use items	Can someone else use the skills	Invisible	Whether it is forced to show	Whether the backpack can be operated	Is it possible to talk to npc	Release effect number	Screen effect Client performance	Client performance indicator	State ground effect	Center point display	Stunning performance	Special effect performance	dummy1	Attacked special effects performance in this state	dummy2	ICON	Explanation	description	Manifestations	Remarks
121	Potion ship speed modify	-1	0	State_YSBoatMspd_Add	State_YSBoatMspd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
122	Potion ship defense modify	-1	0	State_YSBoatDEF_Add	State_YSBoatDEF_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
123	Spring Town Status	-1	0	0	0	4	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
124	Ether Clover	-1	0	State_PKSBYS_Add	State_PKSBYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
125	Black Dragon Roar	-1	0	State_BlackHx_Add	State_BlackHx_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	894	-1	0	0	0	s0225,0,0,0,0,0,0,0,0,0	0	15218966
126	Black Dragon Lightning Bolt	-1	0	State_BlackLj_Add	State_BlackLj_Rem	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	887	-1	0	0	0	s0214,0,0,0,0,0,0,0,0,0	0	15218966
127	Party EXP Bonus	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1405,0,0,0,0,0,0,0,0,0	Increases Party EXP Rate	1566795
128	Battle Array	-1	0	State_KUANGZ_Add	State_KUANGZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1407,0,0,0,0,0,0,0,0,0	Greatly Increases Attack but Slightly Reduces Defense	1566795
129	Full Body Armor	-1	0	State_QUANS_Add	State_QUANS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1408,0,0,0,0,0,0,0,0,0	Greatly Increases Defense but Slightly Reduces Attack	1566795
130	Weightless Potion	-1	0	State_QINGZ_Add	State_QINGZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1406,0,0,0,0,0,0,0,0,0	Greatly Increases Movement Speed but Slightly Reduces Defense	1566795
131	Pet Poison Bite	1	0	State_JLDS_Add	State_JLDS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
132	Fairy Possession A	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	527	-1	0	0	0	s0234,0,0,0,0,0,0,0,0,0	Grants the Power of the Fairy	1566795
133	Super Lollipop	-1	0	State_CJBBT_Add	State_CJBBT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1475,0,0,0,0,0,0,0,0,0	Greatly Increases Strength	1566795
134	Huge Chocolate	-1	0	State_JRQKL_Add	State_JRQKL_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1476,0,0,0,0,0,0,0,0,0	Greatly Increases Constitution	1566795
135	Deathsoul Magma Bullet	1	0	State_wlrsd_Add	State_wlrsd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
136	Deathsoul Acceleration	-1	0	State_wljs_Add	State_wljs_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	922	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
137	Deathsoul Whirlpool	-1	State_wlxw_Tran	State_wlxw_Add	State_wlxw_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	280	1	0	0	0	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
138	Encumbered Skeleton	3	0	State_klcs_Add	State_klcs_Rem	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	921	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
139	Skeletar Shielding	-1	0	State_klhd_Add	State_klhd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	912	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
140	Deathsoul Taunt	-1	0	State_wlcx_Add	State_wlcx_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	926	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
141	Cursed Blood	1	0	State_wlcx_Add	State_wlcx_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	920	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
142	Deathsoul Poison Dart	1	0	State_wldb_Add	State_wldb_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	920	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
143	Deathsoul Roquet	-1	0	State_wljy_Add	State_wljy_Rem	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	253	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
144	Whirlpool	-1	State_Xw_Tran	State_Xw_Add	State_Xw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	280	1	0	0	0	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
145	Cloud Attack	1	State_ywgj_Tran	State_ywgj_Add	State_ywgj_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	293	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
146	Roar of Deathsoul	-1	0	State_wlnh_Add	State_wlnh_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
147	Fairy Growth Bonus	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1483,0,0,0,0,0,0,0,0,0	Doubles Growth Rate of Fairy	1566795
148	Skill - Defecate	-1	0	State_jltx1_Add	State_jltx1_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	830	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
149	Skill - Undergarment	-1	0	State_jltx2_Add	State_jltx2_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	831	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
150	Skill - Garment	-1	0	State_jltx3_Add	State_jltx3_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	832	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
151	Skill - Coin Shower	-1	0	State_jltx4_Add	State_jltx4_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	833	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
152	Skill - Fool	-1	0	State_jltx5_Add	State_jltx5_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	834	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
153	Skill - Snooty	-1	0	State_jltx6_Add	State_jltx6_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	835	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
154	Skill - Dumb	-1	0	State_jltx7_Add	State_jltx7_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	836	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
155	Skill - Dumb	-1	0	State_jltx8_Add	State_jltx8_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	837	1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
156	Heart of Innocence	-1	0	State_CZZX_Add	State_CZZX_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
157	Kara's Victory	-1	0	State_KALA_Add	State_KALA_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
158	Sure-death	2	0	State_5MBS_Add	State_5MBS_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
159	Flash Bomb	-1	0	State_ShanGD_Add	State_ShanGD_Rem	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	253	1	0	0	0	n1695,0,0,0,0,0,0,0,0,0	Stuns Target	15218966
160	Radiation	1	State_FuShe_Tran	State_FuShe_Add	State_FuShe_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	920	1	0	0	0	n1696,0,0,0,0,0,0,0,0,0	Inflicts Poison Damage	1566795
161	Ship Atomizer	-1	0	State_PengSheQi_Add	State_PengSheQi_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	222	-1	0	0	0	n1707,0,0,0,0,0,0,0,0,0	Greatly Increases Ship Movement Speed	1566795
162	Impaler	-1	0	State_PoRenDan_Add	State_PoRenDan_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	306	-1	0	0	0	n1709,0,0,0,0,0,0,0,0,0	Decreases Damage of Ship	15218966
163	Ship Flamer	1	0	State_RanShaoDan_Add	State_RanShaoDan_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1710,0,0,0,0,0,0,0,0,0	Inflicts Burn Damage	15218966
164	Ship Accelerator	-1	0	State_czjs_Add	State_czjs_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	922	-1	0	0	0	n1706,0,0,0,0,0,0,0,0,0	Increases Ship Movement Speed	1566795
165	Cooking Potion HP	-1	0	State_CookingPotionHP_Add	State_CookingPotionHP_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1669,n1670,n1671,n1672,n1677,n1682,n1686,n1687,n1688,n1689	a	1566795
166	Cooking Potion ATK	-1	0	State_CookingPotionATK_Add	State_CookingPotionATK_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1673,n1674,n1678,n1679,n1683,0,0,0,0,0	a	1566795
167	Cooking Potion SPR	-1	0	State_CookingPotionSPR_Add	State_CookingPotionSPR_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1675,n1676,n1681,n1680,n1684,n1685,0,0,0,0	a	1566795
168	Fairy Possession B	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	528	-1	0	0	0	s0234,0,0,0,0,0,0,0,0,0	Grants the Power of the Fairy	1566795
169	Fairy Possession C	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	529	-1	0	0	0	s0234,0,0,0,0,0,0,0,0,0	Grants the Power of the Fairy	1566795
170	Fairy Possession D	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	530	-1	0	0	0	s0234,0,0,0,0,0,0,0,0,0	Grants the Power of the Fairy	1566795
171	Fairy Possession E	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	531	-1	0	0	0	s0234,0,0,0,0,0,0,0,0,0	Grants the Power of the Fairy	1566795
172	Fairy Possession F	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	532	-1	0	0	0	s0234,0,0,0,0,0,0,0,0,0	Grants the Power of the Fairy	1566795
173	Fairy Possession G	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	533	-1	0	0	0	s0234,0,0,0,0,0,0,0,0,0	Grants the Power of the Fairy	1566795
174	Fairy Possession H	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	534	-1	0	0	0	s0234,0,0,0,0,0,0,0,0,0	Grants the Power of the Fairy	1566795
176	Carrion Ball	-1	0	State_FuShiZhiQiu_Add	State_FuShiZhiQiu_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	306	1	0	0	0	n1700,0,0,0,0,0,0,0,0,0	Decreases Defense and Physical Resist	15218966
177	Noise Polluter	1	State_ZaoYinZhiZao_Tran	State_ZaoYinZhiZao_Add	State_ZaoYinZhiZao_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	1	0	920	1	0	0	0	n1701,0,0,0,0,0,0,0,0,0	Decreases Spirit	15218966
178	Earthquake Generator	-1	State_DiZhenFaSheng_Tran	State_DiZhenFaSheng_Add	State_DiZhenFaSheng_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	326	1	0	253	1	0	0	0	n1702,0,0,0,0,0,0,0,0,0	Decreases Movement Speed	15218966
179	Chain Bullet	-1	0	State_LianDan_Add	State_LianDan_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	271	-1	0	0	0	n1716,0,0,0,0,0,0,0,0,0	Decreases Movement Speed of Ship	15218966
180	Mirage Generator	-1	0	State_HuanYinFaSheng_Add	State_HuanYinFaSheng_Rem	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	-1	0	0	0	912	-1	0	0	0	n1712,0,0,0,0,0,0,0,0,0	Grants Invincibility to Ship	1566795
181	Stealth Ship	-1	0	State_ChuanZhiQianXing_Add	State_ChuanZhiQianXing_Rem	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1714,0,0,0,0,0,0,0,0,0	0	1566795
182	Radar	-1	State_LeiDa_Tran	State_LeiDa_Add	State_LeiDa_Rem	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	-1	176	1	0	0	-1	0	0	0	n1715,0,0,0,0,0,0,0,0,0	Reveals Stealth of Ship	15218966
183	Carrion Bullet	1	0	State_FuShiDan_Add	State_FuShiDan_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	-1	0	0	0	n1711,0,0,0,0,0,0,0,0,0	Decreases Fuel of Ship	15218966
184	Water Mine burning	1	State_Slrs_Tran	State_Slrs_Add	State_Slrs_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	115	2	0	0	0	n1717,0,0,0,0,0,0,0,0,0	0	1566795
185	Burning Lamb	1	State_Myrs_Tran	State_Myrs_Add	State_Myrs_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	115	2	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
186	Drag Tower	-1	0	State_JST_Add	State_JST_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	297	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
187	Healing Spring	1	0	State_HFZQ_Add	State_HFZQ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	166	-1	0	0	0	s0122,0,0,0,0,0,0,0,0,0	Heals Target Continuously	1566795
188	Devil Curse	1	0	State_EmoYuYan_Add	State_EmoYuYan_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	936	-1	0	0	0	s0457,0,0,0,0,0,0,0,0,0	Deals Damage Continuously and Decreases Stats	15218966
189	Super consciousness	3	State_XYSYF_Tran	State_XYSYF_Add	State_XYSYF_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	937	1	0	131	-1	0	0	0	s0454,0,0,0,0,0,0,0,0,0	Deals Damage Continuously	15218966
190	Ammo Warehouse is gone	-1	0	State_JHKML_Add	State_JHKML_Rem	3	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
191	Frozen ring	-1	0	State_BDH_Add	State_BDH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	943	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
194	Egg Yolk Dumpling	-1	0	State_DHZ_Add	State_DHZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	1	0	0	0	n1866,0,0,0,0,0,0,0,0,0	0	1566795
195	Bean Paste Dumpling	-1	0	State_DSZ_Add	State_DSZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n1867,0,0,0,0,0,0,0,0,0	0	1566795
196	Double the reading experience	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
197	I Love Dad	-1	0	State_Ilovedad_Add	State_Ilovedad_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	552	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795
198	Slowly restore mana	1	0	STATE_HPHMHF_Add	STATE_HPHMHF_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0,0,0,0,0,0,0,0,0,0	0	1566795																																	
199	Super Happy Ration	-1	0	State_super_Add	STATE_super_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	n0461,0,0,0,0,0,0,0,0,0	0	1566795
220	Game Master	-1	0	State_GameMaster_Add	State_GameMaster_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	ns0002	0	1566795
221	Flag Holder	-1	0	State_None_Add	State_None_Rem	3	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	912	-1	0	0	0	0	0	1566795
