//ID	Name	Level	Coordinates	Map
0	NPCï¿½ï¿½ï¿½ï¿½	NPCÎ»ï¿½ï¿½	0,0	ï¿½ï¿½ï¿½ï¿½
427	Magical Ocean Estuary A	Pirate Hideout	734,1032	Pirate Hideout
428	Magical Ocean Estuary A	Pirate Hideout	697,920	Pirate Hideout
429	Skeletar Isle Estuary	Treasure Gulf Sea Area	761,896	Pirate Hideout
430	Naval Base Estuary	Skeletar Isle Sea Area	422,874	Pirate Hideout
431	Treasure Gulf Estuary A	Skeletar Isle Sea Area	610,642	Pirate Hideout
432	Treasure Gulf Estuary B	Naval Base Sea Area	1053,225	Pirate Hideout
437	Resident - Auntie Susan	DreamIsland	404,639	DreamIsland
438	Resident - May	DreamIsland	433,619	DreamIsland
439	Private - Whitely	DreamIsland	454,590	DreamIsland
440	Private - Goldy	DreamIsland	454,602	DreamIsland
441	Private - Solomon	DreamIsland	327,596	DreamIsland
442	Private - Maesomom	DreamIsland	327,603	DreamIsland
443	Private - Hawong	DreamIsland	342,558	DreamIsland
444	Private - Hachoi	DreamIsland	348,559	DreamIsland
445	Dream City Captain - Haagen Dazs	DreamIsland	407,538	DreamIsland
446	Mysterious Augur - Yuichi	DreamIsland	378,534	DreamIsland
447	Banker - Lovely	DreamIsland	346,588	DreamIsland
448	Banker - Abbey	DreamIsland	437,606	DreamIsland
449	Mysterious Loner - Xiaoxun	DreamIsland	367,506	DreamIsland
450	Millionaire - Sheep	DreamIsland	366,568	DreamIsland
451	Teleporter - Shiyazhi	DreamIsland	343,640	DreamIsland
452	Teleporter - Feifei	DreamIsland	412,658	DreamIsland
453	Teleporter - Huihui	DreamIsland	435,547	DreamIsland
454	Teleporter - Xiuxiu	DreamIsland	366,534	DreamIsland
455	Event NPC - Jingle	DreamIsland	379,599	DreamIsland
456	Physician - Strong	DreamIsland	392,550	DreamIsland
457	Hotel Owner - Whiskey	DreamIsland	437,647	DreamIsland
458	Hotel Owner - Dust	DreamIsland	437,658	DreamIsland
459	Flower Fairy JJ - Linger	DreamIsland	308,537	DreamIsland
460	Flower Fairy MM - Snowy	DreamIsland	432,501	DreamIsland
461	Nurse - Blue	DreamIsland	404,548	DreamIsland
462	Resident - Olda	DreamIsland	369,631	DreamIsland
463	Resident - Uncle Jack	DreamIsland	408,653	DreamIsland
464	Resident - Red-bearded Grandpa	DreamIsland	390,652	DreamIsland
465	Resident - Depress	DreamIsland	447,545	DreamIsland
466	Tools - Honor	DreamIsland	426,565	DreamIsland
467	Accessory - Twinkle	DreamIsland	438,562	DreamIsland
468	Tailor - Feifan	DreamIsland	450,563	DreamIsland
469	Grocery - Bazhe	DreamIsland	433,585	DreamIsland
470	Fruit Merchant - Linger	DreamIsland	405,565	DreamIsland
471	Armory Merchant - Perak	DreamIsland	371,652	DreamIsland
472	Blacksmith - Uncle Jin	DreamIsland	364,652	DreamIsland
473	City Leader - Eric	DreamIsland	336,544	DreamIsland
474	Bar Waitress - Cuihua	DreamIsland	435,634	DreamIsland
475	Beach Shop - Xiao Li	DreamIsland	471,622	DreamIsland
476	Pucca	DreamIsland	399,599	DreamIsland
477	Teleporter - Junior You	Region of the Demons	652,281	DreamIsland
478	Bard - Er Hao	Region of the Demons	669,110	DreamIsland
479	Teleporter - Rolan	Forgotten Island	250,154	DreamIsland
480	Traveler - Nawei	Forgotten Island	157,253	DreamIsland
481	Sabbath, the Devil's Servant	DreamIsland	380,608	DreamIsland
482	Princess Julia	Shaitan City	876,3578	Magical Ocean
483	Princess Julia	Lower Icicle Castle	1325,520	Deep Blue
484	Mysterious Cyclone Commerce Member	Forgotten Island	128,176	DreamIsland
485	Pope - Dewy	Shaitan City	866,3570	Magical Ocean 
